q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.21,13458.1767578125,2319.5036081222024,5.802179336547852,2.8931776085983074e-08,8.515271804721797,0.044948212802410126,0.44055304973320364,289.9230769230769,85,32
0.22,13746.85546875,2273.779663724698,6.045816421508789,9.27571619513401e-09,8.872833422939994,0.04973718151450157,0.44241627101244707,266.4273504273504,84,33
0.23,13494.58984375,2253.0107277644047,5.9895806312561035,1.2085028977537604e-08,8.79030145365982,0.051987916231155396,0.44371138339093097,244.84615384615384,86,31
0.24,13591.3095703125,2184.5568955410445,6.221540927886963,4.027923328209226e-09,9.130725442750617,0.055002402514219284,0.4460079651052532,225.34188034188034,87,30
0.25,13537.708984375,2108.880765645609,6.4193806648254395,1.554675610471179e-09,9.421075575651058,0.058199264109134674,0.44673962047624904,208.53846153846155,87,30
0.26,13472.4853515625,2110.6929307397872,6.382967948913574,1.8542215540762186e-09,9.367635936920262,0.05995103344321251,0.4495560215965374,191.54700854700855,89,28
0.27,13158.984375,2133.633359069809,6.1674065589904785,5.214246812101919e-09,9.05127828999722,0.060671690851449966,0.45189842805320435,176.7094017094017,86,31
0.28,12508.4267578125,2116.351161647637,5.910373687744141,1.7506835092717665e-08,8.674057535779871,0.053370095789432526,0.45322310590205106,163.35042735042734,85,32
0.29,11893.7744140625,2067.178939370148,5.753625869750977,3.619330612991689e-08,8.44401439327379,0.05216781049966812,0.4536146622921145,151.0940170940171,85,32
0.3,11748.158203125,2094.292981090648,5.60960578918457,6.99280064964114e-08,8.232650684941747,0.055014725774526596,0.456348231827112,139.2136752136752,84,33
0.31,11262.87109375,2018.7103846267373,5.579240322113037,8.025621411889006e-08,8.188086763520927,0.05546330660581589,0.45430428438784987,128.87179487179486,84,33
0.32,11516.1015625,1907.7232175329887,6.036567687988281,9.689014035529908e-09,8.859260268594713,0.07211222581651688,0.455785242606948,119.07692307692308,86,31
0.33,10905.3857421875,1909.5872052040932,5.710860252380371,4.404997966389601e-08,8.38125154660503,0.06663368141593749,0.45533431471294644,110.31623931623932,83,34
0.34,10489.8154296875,1974.9918114464456,5.311320781707764,2.6597032842801127e-07,7.7948881345788195,0.064289680289958,0.4558333333333333,102.56410256410257,85,32
0.35,10408.796722672943,1932.622451265325,5.385840734623622,1.9119802621511268e-07,7.904253245147252,0.06599098460794957,0.45692749461593685,95.24786324786325,83,34
0.36,10307.269393007979,1943.44588740203,5.303605034656552,2.751773451989618e-07,7.783564232909484,0.06668897535940953,0.4594072786948547,88.53846153846153,85,32
0.37,10198.550828200121,1792.8896947510827,5.688331445073114,4.883835452729143e-08,8.348188240166072,0.07006710426729365,0.46216300614135525,82.11111111111111,88,29
0.38,9801.971483018664,1758.081525821631,5.575379377493747,8.167204174380555e-08,8.182419924558298,0.06737213475420943,0.46153846153846156,76.44444444444444,88,29
0.39,8776.499301486545,1757.9357393091302,4.992502914205336,1.0603307124107393e-06,7.326991143152019,0.06306901099943106,0.4585278276481149,71.41025641025641,83,34
0.4,8413.100986578525,1814.3361828561447,4.637013286773868,4.669985423928808e-06,6.805275002684354,0.05362904107334606,0.45832264683252116,66.64957264957265,79,38
0.41,8475.073521540715,1833.176714783164,4.623162324284259,4.941068246047184e-06,6.784947347151748,0.056809673357779034,0.4592959295929593,62.15384615384615,81,36
0.42,7536.02726810814,1816.8753280055143,4.147795477183819,3.211250710622869e-05,6.087299546377771,0.04758439137367532,0.457657125995869,57.93162393162393,75,42
0.43,7557.6730233216895,1818.2619121877747,4.1565370602896925,3.106258734828975e-05,6.100128683004137,0.04382457397978528,0.46037735849056605,54.35897435897436,81,36
0.44,6955.175354525574,1748.0930800190986,3.978721404497286,6.052925830908956e-05,5.839166645025614,0.034722601684765764,0.4580818242790074,50.97435897435897,78,39
