q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.27,23514.486328125,2409.9811327067578,9.757123947143555,4.390725976629449e-17,14.31954415624411,0.13354156911373138,0.4652962515114873,176.7094017094017,110,7
0.28,22079.59375,2385.198204115576,9.256921768188477,6.539854035477767e-16,13.585447366527069,0.12310392409563065,0.46567601506906653,163.35042735042734,111,6
0.29,20744.689453125,2324.974049901122,8.922547340393066,3.939047100109082e-15,13.094718522125973,0.11879078298807144,0.4665686163593167,151.0940170940171,105,12
0.3,19902.64453125,2339.458911568111,8.507369995117188,3.605082337797445e-14,12.48540699623042,0.118678018450737,0.46899557956778,139.2136752136752,101,16
0.31,18809.3203125,2253.7595369160144,8.345751762390137,8.486712444995617e-14,12.248216781577494,0.11640003323554993,0.46677278153601276,128.87179487179486,101,16
0.32,18488.796875,2128.6015132468247,8.68588924407959,1.394814829364403e-14,12.747400304730194,0.13130364957885768,0.46856158484065463,119.07692307692308,105,12
0.33,17363.673828125,2120.567208158595,8.18822193145752,1.9481326816485345e-13,12.017023690307997,0.1233390692765985,0.46804059812504845,110.31623931623932,99,18
0.34,16493.408203125,2176.0018367529733,7.579684257507324,4.642581458158546e-12,11.123936205587443,0.11913147708902874,0.46808333333333335,102.56410256410257,96,21
0.35,15984.165598290598,2125.8852766394116,7.518827932031348,6.350194539887259e-12,11.034622635497552,0.11871764738699618,0.4685032304379038,95.24786324786325,98,19
0.36,15491.817616519766,2128.9982573221073,7.276575996828504,2.1916589898270368e-11,10.679093993022,0.1174407660447318,0.47079833960807027,88.53846153846153,91,26
0.37,15004.64219417735,1981.8250296913877,7.571123570133682,4.851941385266902e-12,11.111371649726676,0.11880716487990114,0.47173935671905903,82.11111111111111,97,20
0.38,14276.442599826389,1941.3818369224987,7.353753047601173,1.479133743576217e-11,10.792358937917067,0.11409658575249867,0.4708184257602862,76.44444444444444,95,22
0.39,12954.393487913996,1928.0063311637352,6.719061695245983,3.588487563582223e-10,9.860886688975604,0.10824601774822504,0.46726511071214843,71.41025641025641,90,27
0.4,12312.318593082266,1976.2150993708458,6.23025226201442,3.863651875260776e-09,9.143510565311008,0.09755034937828394,0.46729930751474735,66.64957264957265,88,29
0.41,12112.314060830662,1986.871543751952,6.0961737053006,7.3118308949221825e-09,8.946737040205289,0.0990258644872891,0.4676842684268427,62.15384615384615,89,28
0.42,10926.669871794871,1956.8217808321288,5.5838860640381665,7.858436058688938e-08,8.194904327279662,0.08867557986502952,0.4665092947772204,57.93162393162393,84,33
0.43,10738.468098958334,1952.42989204671,5.500053109564575,1.1473502894698442e-07,8.07187118629049,0.08371058344544995,0.4690251572327044,54.35897435897436,90,27
0.44,9938.98785556891,1876.7599962476372,5.295822521494894,2.8477933653459946e-07,7.772142626154946,0.07332708935427945,0.46696847753185783,50.97435897435897,82,35
